customer.id,credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid,Status
10001,1,debt_consolidation,0.1189,829.1,11.35040654,19.48,737,5639.958333,28854.0,52.1,0.0,0,0,0,Approved
10002,1,credit_card,0.1071,228.22,11.08214255,14.29,707,2760.0,33623.0,76.7,0.0,0,0,0,Approved
10003,1,debt_consolidation,0.1357,366.86,10.37349118,11.63,682,4710.0,3511.0,25.6,1.0,0,0,0,Review
10004,1,debt_consolidation,0.1008,162.34,11.35040654,8.1,712,2699.958333,33667.0,73.2,1.0,0,0,0,Approved
10005,1,credit_card,0.1426,102.92,11.29973224,14.97,667,4066.0,4740.0,39.5,0.0,1,0,0,Review
10006,1,credit_card,0.0788,125.13,11.90496755,16.98,727,6120.041667,50807.0,51,0.0,0,0,0,Approved
10007,1,debt_consolidation,0.1496,194.02,10.71441777,4,667,3180.041667,3839.0,76.8,0.0,0,1,1,Review
10008,1,all_other,0.1114,131.22,11.00209984,11.08,722,5116.0,24220.0,68.6,0.0,0,0,1,Approved
10009,1,home_improvement,0.1134,87.19,11.40756495,17.25,682,3989.0,69909.0,51.1,1.0,0,0,0,Review
10010,1,debt_consolidation,0.1221,84.12,10.20359214,10,707,2730.041667,5630.0,23,1.0,0,0,0,Approved
10011,1,debt_consolidation,0.1347,360.43,10.4341158,22.09,677,6713.041667,13846.0,71,2.0,0,1,0,Review
10012,1,debt_consolidation,0.1324,253.58,11.83500896,9.16,662,4298.0,5122.0,18.2,2.0,1,0,0,Review
10013,1,debt_consolidation,0.0859,316.11,10.93310697,15.49,767,6519.958333,6068.0,16.7,0.0,0,0,0,Approved
10014,1,small_business,0.0714,92.82,11.51292546,6.5,747,4384.0,3021.0,4.8,0.0,1,0,0,Approved
10015,1,debt_consolidation,0.0863,209.54,9.487972109,9.73,727,1559.958333,6282.0,44.6,0.0,0,0,0,Approved
10016,1,major_purchase,0.1103,327.53,10.73891524,13.04,702,8159.958333,5394.0,53.4,1.0,0,0,0,Approved
10017,1,all_other,0.1317,77.69,10.52277288,2.26,672,3895.958333,2211.0,88.4,0.0,0,0,0,Review
10018,1,credit_card,0.0894,476.58,11.60823564,7.07,797,6510.958333,7586.0,52.7,1.0,0,0,0,Approved
10019,1,debt_consolidation,0.1039,584.12,10.49127422,3.8,712,2760.0,8311.0,59.8,0.0,0,0,0,Approved
10020,1,major_purchase,0.1513,173.65,11.00209984,2.74,667,1126.958333,591.0,84.4,3.0,0,0,0,Review
10021,1,all_other,0.08,188.02,11.22524339,16.08,772,4888.958333,29797.0,23.2,1.0,0,0,0,Approved
10022,1,all_other,0.0863,474.42,10.81977828,2.59,797,11951.0,5656.0,27.6,0.0,0,0,0,Approved
10023,1,credit_card,0.1355,339.6,11.51292546,7.94,662,1939.958333,21162.0,57.7,0.0,0,0,0,Review
10024,1,credit_card,0.0788,484.85,11.73606902,7.05,782,5640.041667,16931.0,34.6,1.0,0,0,0,Approved
10025,1,debt_consolidation,0.1229,320.19,11.26446411,8.8,672,3760.958333,4822.0,58.1,0.0,0,1,0,Review
10026,1,all_other,0.0901,159.03,12.4292162,10,712,1553.958333,14354.0,36.6,0.0,2,0,0,Approved
10027,1,all_other,0.0743,155.38,11.08214255,0.28,802,4649.958333,1576.0,5.7,1.0,0,0,0,Approved
10028,1,debt_consolidation,0.1375,255.43,9.998797732,14.29,662,1318.958333,4175.0,51.5,0.0,1,0,0,Review
